"","geo","date","hits_Weather","State","Abrev","FIPS","year","month","hits_Forecast","hits_Temperature","hits_NOAA","hits_Dogs","hits_Headache"
"23","US-AK",2006-11-01,63,"Alaska","AK",2,"2006","11",38,57,62,34,39
"24","US-AK",2006-12-01,53,"Alaska","AK",2,"2006","12",21,7,37,52,0
"25","US-AK",2007-01-01,80,"Alaska","AK",2,"2007","01",34,45,50,66,0
"26","US-AK",2007-02-01,45,"Alaska","AK",2,"2007","02",20,47,23,43,73
"27","US-AK",2007-03-01,62,"Alaska","AK",2,"2007","03",28,36,68,43,0
"28","US-AK",2007-04-01,39,"Alaska","AK",2,"2007","04",7,42,41,38,0
"29","US-AK",2007-05-01,45,"Alaska","AK",2,"2007","05",24,35,35,56,0
"30","US-AK",2007-06-01,54,"Alaska","AK",2,"2007","06",29,19,43,34,0
"31","US-AK",2007-07-01,43,"Alaska","AK",2,"2007","07",34,12,20,46,32
"32","US-AK",2007-08-01,55,"Alaska","AK",2,"2007","08",37,34,39,49,31
"33","US-AK",2007-09-01,48,"Alaska","AK",2,"2007","09",26,44,19,35,0
"34","US-AK",2007-10-01,44,"Alaska","AK",2,"2007","10",18,15,22,44,27
"35","US-AK",2007-11-01,43,"Alaska","AK",2,"2007","11",27,35,39,60,0
"36","US-AK",2007-12-01,63,"Alaska","AK",2,"2007","12",24,56,53,65,55
"37","US-AK",2008-01-01,58,"Alaska","AK",2,"2008","01",19,46,40,52,0
"38","US-AK",2008-02-01,72,"Alaska","AK",2,"2008","02",41,37,57,82,51
"39","US-AK",2008-03-01,46,"Alaska","AK",2,"2008","03",33,10,18,72,0
"40","US-AK",2008-04-01,47,"Alaska","AK",2,"2008","04",26,49,38,84,0
"41","US-AK",2008-05-01,46,"Alaska","AK",2,"2008","05",30,25,35,53,56
"42","US-AK",2008-06-01,54,"Alaska","AK",2,"2008","06",29,10,30,55,27
"43","US-AK",2008-07-01,67,"Alaska","AK",2,"2008","07",64,41,51,54,0
"44","US-AK",2008-08-01,55,"Alaska","AK",2,"2008","08",52,22,46,32,24
"45","US-AK",2008-09-01,47,"Alaska","AK",2,"2008","09",29,24,42,49,67
"46","US-AK",2008-10-01,53,"Alaska","AK",2,"2008","10",30,39,14,44,43
"47","US-AK",2008-11-01,34,"Alaska","AK",2,"2008","11",28,34,37,30,70
"48","US-AK",2008-12-01,65,"Alaska","AK",2,"2008","12",31,53,46,55,67
"49","US-AK",2009-01-01,91,"Alaska","AK",2,"2009","01",24,82,68,54,20
"50","US-AK",2009-02-01,46,"Alaska","AK",2,"2009","02",19,61,56,42,44
"51","US-AK",2009-03-01,43,"Alaska","AK",2,"2009","03",30,18,47,66,0
"52","US-AK",2009-04-01,32,"Alaska","AK",2,"2009","04",22,29,38,23,0
"53","US-AK",2009-05-01,55,"Alaska","AK",2,"2009","05",30,52,59,63,22
"54","US-AK",2009-06-01,47,"Alaska","AK",2,"2009","06",38,32,42,61,0
"55","US-AK",2009-07-01,61,"Alaska","AK",2,"2009","07",39,35,74,25,21
"56","US-AK",2009-08-01,52,"Alaska","AK",2,"2009","08",56,38,43,72,41
"57","US-AK",2009-09-01,45,"Alaska","AK",2,"2009","09",26,30,35,56,41
"58","US-AK",2009-10-01,42,"Alaska","AK",2,"2009","10",31,38,42,70,38
"59","US-AK",2009-11-01,49,"Alaska","AK",2,"2009","11",39,58,44,49,40
"60","US-AK",2009-12-01,57,"Alaska","AK",2,"2009","12",45,45,63,44,0
"61","US-AK",2010-01-01,49,"Alaska","AK",2,"2010","01",50,36,54,66,54
"62","US-AK",2010-02-01,38,"Alaska","AK",2,"2010","02",37,31,39,77,19
"63","US-AK",2010-03-01,44,"Alaska","AK",2,"2010","03",30,16,49,68,34
"64","US-AK",2010-04-01,40,"Alaska","AK",2,"2010","04",27,23,48,51,18
"65","US-AK",2010-05-01,39,"Alaska","AK",2,"2010","05",31,28,37,59,0
"66","US-AK",2010-06-01,53,"Alaska","AK",2,"2010","06",48,7,56,57,19
"67","US-AK",2010-07-01,59,"Alaska","AK",2,"2010","07",68,19,50,56,0
"68","US-AK",2010-08-01,45,"Alaska","AK",2,"2010","08",52,34,38,47,17
"69","US-AK",2010-09-01,53,"Alaska","AK",2,"2010","09",58,22,47,68,52
"70","US-AK",2010-10-01,46,"Alaska","AK",2,"2010","10",42,33,49,62,16
"71","US-AK",2010-11-01,52,"Alaska","AK",2,"2010","11",44,24,31,67,32
"72","US-AK",2010-12-01,71,"Alaska","AK",2,"2010","12",45,71,74,57,81
"73","US-AK",2011-01-01,53,"Alaska","AK",2,"2011","01",34,45,39,56,35
"74","US-AK",2011-02-01,65,"Alaska","AK",2,"2011","02",53,46,65,47,25
"75","US-AK",2011-03-01,45,"Alaska","AK",2,"2011","03",50,47,39,46,0
"76","US-AK",2011-04-01,47,"Alaska","AK",2,"2011","04",23,42,44,58,46
"77","US-AK",2011-05-01,51,"Alaska","AK",2,"2011","05",36,46,32,54,12
"78","US-AK",2011-06-01,56,"Alaska","AK",2,"2011","06",49,22,56,67,47
"79","US-AK",2011-07-01,56,"Alaska","AK",2,"2011","07",57,46,64,50,12
"80","US-AK",2011-08-01,58,"Alaska","AK",2,"2011","08",57,23,73,64,45
"81","US-AK",2011-09-01,51,"Alaska","AK",2,"2011","09",63,41,58,62,33
"82","US-AK",2011-10-01,43,"Alaska","AK",2,"2011","10",43,42,37,46,63
"83","US-AK",2011-11-01,78,"Alaska","AK",2,"2011","11",62,51,61,62,32
"84","US-AK",2011-12-01,65,"Alaska","AK",2,"2011","12",51,48,58,68,21
"85","US-AK",2012-01-01,90,"Alaska","AK",2,"2012","01",87,71,78,69,37
"86","US-AK",2012-02-01,60,"Alaska","AK",2,"2012","02",27,35,49,63,54
"87","US-AK",2012-03-01,41,"Alaska","AK",2,"2012","03",49,40,44,50,65
"88","US-AK",2012-04-01,31,"Alaska","AK",2,"2012","04",40,37,29,55,42
"89","US-AK",2012-05-01,48,"Alaska","AK",2,"2012","05",41,31,47,61,18
"90","US-AK",2012-06-01,64,"Alaska","AK",2,"2012","06",49,34,55,73,42
"91","US-AK",2012-07-01,63,"Alaska","AK",2,"2012","07",44,40,66,48,10
"92","US-AK",2012-08-01,60,"Alaska","AK",2,"2012","08",47,35,57,63,46
"93","US-AK",2012-09-01,71,"Alaska","AK",2,"2012","09",60,36,68,58,47
"94","US-AK",2012-10-01,47,"Alaska","AK",2,"2012","10",55,49,55,53,34
"95","US-AK",2012-11-01,51,"Alaska","AK",2,"2012","11",56,62,51,72,53
"96","US-AK",2012-12-01,76,"Alaska","AK",2,"2012","12",57,50,88,60,39
"97","US-AK",2013-01-01,63,"Alaska","AK",2,"2013","01",38,49,100,51,55
"98","US-AK",2013-02-01,51,"Alaska","AK",2,"2013","02",30,53,42,53,36
"99","US-AK",2013-03-01,59,"Alaska","AK",2,"2013","03",62,45,71,50,16
"100","US-AK",2013-04-01,52,"Alaska","AK",2,"2013","04",58,47,54,50,32
"101","US-AK",2013-05-01,60,"Alaska","AK",2,"2013","05",40,68,58,59,8
"102","US-AK",2013-06-01,65,"Alaska","AK",2,"2013","06",56,44,59,61,9
"103","US-AK",2013-07-01,60,"Alaska","AK",2,"2013","07",47,38,66,67,9
"104","US-AK",2013-08-01,61,"Alaska","AK",2,"2013","08",59,31,48,60,41
"105","US-AK",2013-09-01,58,"Alaska","AK",2,"2013","09",39,33,64,59,33
"106","US-AK",2013-10-01,46,"Alaska","AK",2,"2013","10",42,43,54,59,63
"107","US-AK",2013-11-01,76,"Alaska","AK",2,"2013","11",60,62,76,68,25
"108","US-AK",2013-12-01,70,"Alaska","AK",2,"2013","12",56,53,73,66,40
"109","US-AK",2014-01-01,67,"Alaska","AK",2,"2014","01",42,53,65,63,15
"110","US-AK",2014-02-01,57,"Alaska","AK",2,"2014","02",78,65,62,59,34
"111","US-AK",2014-03-01,46,"Alaska","AK",2,"2014","03",37,47,51,61,15
"112","US-AK",2014-04-01,39,"Alaska","AK",2,"2014","04",32,47,40,57,55
"113","US-AK",2014-05-01,52,"Alaska","AK",2,"2014","05",40,48,55,81,67
"114","US-AK",2014-06-01,62,"Alaska","AK",2,"2014","06",48,35,69,100,10
"115","US-AK",2014-07-01,77,"Alaska","AK",2,"2014","07",65,29,83,69,37
"116","US-AK",2014-08-01,77,"Alaska","AK",2,"2014","08",51,23,66,65,36
"117","US-AK",2014-09-01,54,"Alaska","AK",2,"2014","09",69,39,47,67,53
"118","US-AK",2014-10-01,52,"Alaska","AK",2,"2014","10",38,57,28,60,34
"119","US-AK",2014-11-01,61,"Alaska","AK",2,"2014","11",61,72,64,64,52
"120","US-AK",2014-12-01,52,"Alaska","AK",2,"2014","12",47,58,52,78,44
"121","US-AK",2015-01-01,66,"Alaska","AK",2,"2015","01",72,67,61,75,43
"122","US-AK",2015-02-01,67,"Alaska","AK",2,"2015","02",53,51,73,69,45
"123","US-AK",2015-03-01,58,"Alaska","AK",2,"2015","03",68,45,44,67,51
"124","US-AK",2015-04-01,45,"Alaska","AK",2,"2015","04",30,42,44,63,17
"125","US-AK",2015-05-01,59,"Alaska","AK",2,"2015","05",36,34,37,72,9
"126","US-AK",2015-06-01,82,"Alaska","AK",2,"2015","06",67,42,62,77,44
"127","US-AK",2015-07-01,77,"Alaska","AK",2,"2015","07",51,40,61,67,33
"128","US-AK",2015-08-01,79,"Alaska","AK",2,"2015","08",58,30,45,81,49
"129","US-AK",2015-09-01,70,"Alaska","AK",2,"2015","09",82,34,68,64,40
"130","US-AK",2015-10-01,52,"Alaska","AK",2,"2015","10",43,53,54,84,61
"131","US-AK",2015-11-01,81,"Alaska","AK",2,"2015","11",63,67,74,74,16
"132","US-AK",2015-12-01,66,"Alaska","AK",2,"2015","12",58,55,57,84,55
"133","US-AK",2016-01-01,62,"Alaska","AK",2,"2016","01",48,53,41,61,30
"134","US-AK",2016-02-01,57,"Alaska","AK",2,"2016","02",42,56,39,76,70
"135","US-AK",2016-03-01,55,"Alaska","AK",2,"2016","03",49,46,34,84,51
"136","US-AK",2016-04-01,48,"Alaska","AK",2,"2016","04",42,60,51,64,44
"137","US-AK",2016-05-01,62,"Alaska","AK",2,"2016","05",56,42,51,81,45
"138","US-AK",2016-06-01,87,"Alaska","AK",2,"2016","06",50,43,47,87,46
"139","US-AK",2016-07-01,90,"Alaska","AK",2,"2016","07",62,35,67,79,44
"140","US-AK",2016-08-01,75,"Alaska","AK",2,"2016","08",83,31,41,70,37
"141","US-AK",2016-09-01,73,"Alaska","AK",2,"2016","09",100,46,63,92,80
"142","US-AK",2016-10-01,65,"Alaska","AK",2,"2016","10",66,60,36,83,43
"143","US-AK",2016-11-01,56,"Alaska","AK",2,"2016","11",43,68,42,82,59
"144","US-AK",2016-12-01,86,"Alaska","AK",2,"2016","12",60,69,72,98,65
"145","US-AK",2017-01-01,100,"Alaska","AK",2,"2017","01",76,100,71,99,50
"146","US-AK",2017-02-01,82,"Alaska","AK",2,"2017","02",49,80,63,87,61
"147","US-AK",2017-03-01,70,"Alaska","AK",2,"2017","03",72,53,47,95,39
"148","US-AK",2017-04-01,50,"Alaska","AK",2,"2017","04",44,52,35,79,35
"149","US-AK",2017-05-01,69,"Alaska","AK",2,"2017","05",45,42,44,98,51
"150","US-AK",2017-06-01,93,"Alaska","AK",2,"2017","06",64,49,59,85,24
"151","US-AK",2017-07-01,95,"Alaska","AK",2,"2017","07",65,32,47,85,61
"152","US-AK",2017-08-01,98,"Alaska","AK",2,"2017","08",77,29,48,80,63
"153","US-AK",2017-09-01,83,"Alaska","AK",2,"2017","09",94,45,53,98,51
"154","US-AK",2017-10-01,73,"Alaska","AK",2,"2017","10",60,53,37,93,77
"155","US-AK",2017-11-01,76,"Alaska","AK",2,"2017","11",66,79,56,86,44
"156","US-AK",2017-12-01,82,"Alaska","AK",2,"2017","12",50,56,58,94,100
"157","US-AL",2005-01-01,28,"Alabama","AL",1,"2005","01",14,37,0,82,31
"158","US-AL",2005-02-01,14,"Alabama","AL",1,"2005","02",14,29,0,81,0
"159","US-AL",2005-03-01,24,"Alabama","AL",1,"2005","03",13,25,52,70,56
"160","US-AL",2005-04-01,36,"Alabama","AL",1,"2005","04",21,0,17,53,95
"161","US-AL",2005-05-01,19,"Alabama","AL",1,"2005","05",0,61,8,69,0
"162","US-AL",2005-06-01,27,"Alabama","AL",1,"2005","06",19,9,46,67,28
"163","US-AL",2005-07-01,46,"Alabama","AL",1,"2005","07",26,60,100,60,29
"164","US-AL",2005-08-01,28,"Alabama","AL",1,"2005","08",24,55,92,33,0
"165","US-AL",2005-09-01,27,"Alabama","AL",1,"2005","09",11,50,77,50,24
"166","US-AL",2005-10-01,25,"Alabama","AL",1,"2005","10",26,21,37,29,46
"167","US-AL",2005-11-01,31,"Alabama","AL",1,"2005","11",27,36,25,76,0
"168","US-AL",2005-12-01,19,"Alabama","AL",1,"2005","12",15,48,37,61,0
"169","US-AL",2006-01-01,24,"Alabama","AL",1,"2006","01",18,48,32,47,20
"170","US-AL",2006-02-01,30,"Alabama","AL",1,"2006","02",14,55,0,51,41
"171","US-AL",2006-03-01,31,"Alabama","AL",1,"2006","03",25,51,15,39,19
"172","US-AL",2006-04-01,27,"Alabama","AL",1,"2006","04",35,70,10,79,0
"173","US-AL",2006-05-01,24,"Alabama","AL",1,"2006","05",34,34,20,60,19
"174","US-AL",2006-06-01,20,"Alabama","AL",1,"2006","06",4,29,16,52,0
"175","US-AL",2006-07-01,24,"Alabama","AL",1,"2006","07",29,17,30,44,19
"176","US-AL",2006-08-01,28,"Alabama","AL",1,"2006","08",19,74,31,69,17
"177","US-AL",2006-09-01,26,"Alabama","AL",1,"2006","09",15,44,26,34,0
"178","US-AL",2006-10-01,34,"Alabama","AL",1,"2006","10",17,37,12,70,61
"179","US-AL",2006-11-01,35,"Alabama","AL",1,"2006","11",34,45,8,50,15
"180","US-AL",2006-12-01,29,"Alabama","AL",1,"2006","12",21,33,17,37,31
"181","US-AL",2007-01-01,37,"Alabama","AL",1,"2007","01",36,28,18,67,13
"182","US-AL",2007-02-01,49,"Alabama","AL",1,"2007","02",28,61,33,49,41
"183","US-AL",2007-03-01,35,"Alabama","AL",1,"2007","03",17,26,17,52,13
"184","US-AL",2007-04-01,36,"Alabama","AL",1,"2007","04",17,22,23,58,37
"185","US-AL",2007-05-01,27,"Alabama","AL",1,"2007","05",15,34,12,54,23
"186","US-AL",2007-06-01,25,"Alabama","AL",1,"2007","06",19,22,20,56,49
"187","US-AL",2007-07-01,30,"Alabama","AL",1,"2007","07",18,21,28,58,11
"188","US-AL",2007-08-01,29,"Alabama","AL",1,"2007","08",34,49,46,56,54
"189","US-AL",2007-09-01,30,"Alabama","AL",1,"2007","09",27,23,29,34,33
"190","US-AL",2007-10-01,27,"Alabama","AL",1,"2007","10",34,24,13,62,30
"191","US-AL",2007-11-01,28,"Alabama","AL",1,"2007","11",21,34,14,71,31
"192","US-AL",2007-12-01,32,"Alabama","AL",1,"2007","12",35,43,15,52,66
"193","US-AL",2008-01-01,47,"Alabama","AL",1,"2008","01",47,32,36,49,76
"194","US-AL",2008-02-01,39,"Alabama","AL",1,"2008","02",29,65,24,69,10
"195","US-AL",2008-03-01,49,"Alabama","AL",1,"2008","03",39,41,23,54,29
"196","US-AL",2008-04-01,42,"Alabama","AL",1,"2008","04",29,25,39,64,9
"197","US-AL",2008-05-01,44,"Alabama","AL",1,"2008","05",32,37,61,48,29
"198","US-AL",2008-06-01,33,"Alabama","AL",1,"2008","06",36,33,13,56,20
"199","US-AL",2008-07-01,34,"Alabama","AL",1,"2008","07",41,23,23,50,47
"200","US-AL",2008-08-01,46,"Alabama","AL",1,"2008","08",77,24,80,59,36
"201","US-AL",2008-09-01,40,"Alabama","AL",1,"2008","09",43,30,65,51,34
"202","US-AL",2008-10-01,24,"Alabama","AL",1,"2008","10",52,38,8,57,47
"203","US-AL",2008-11-01,27,"Alabama","AL",1,"2008","11",28,45,14,53,44
"204","US-AL",2008-12-01,42,"Alabama","AL",1,"2008","12",34,41,32,44,17
"205","US-AL",2009-01-01,38,"Alabama","AL",1,"2009","01",35,47,19,73,55
"206","US-AL",2009-02-01,42,"Alabama","AL",1,"2009","02",28,42,26,78,57
"207","US-AL",2009-03-01,39,"Alabama","AL",1,"2009","03",45,39,25,60,46
"208","US-AL",2009-04-01,45,"Alabama","AL",1,"2009","04",35,53,35,56,23
"209","US-AL",2009-05-01,44,"Alabama","AL",1,"2009","05",72,43,43,47,32
"210","US-AL",2009-06-01,25,"Alabama","AL",1,"2009","06",33,36,11,56,41
"211","US-AL",2009-07-01,25,"Alabama","AL",1,"2009","07",41,40,19,57,63
"212","US-AL",2009-08-01,28,"Alabama","AL",1,"2009","08",39,32,30,58,38
"213","US-AL",2009-09-01,31,"Alabama","AL",1,"2009","09",40,41,35,78,36
"214","US-AL",2009-10-01,40,"Alabama","AL",1,"2009","10",61,46,17,56,21
"215","US-AL",2009-11-01,26,"Alabama","AL",1,"2009","11",50,51,16,50,7
"216","US-AL",2009-12-01,39,"Alabama","AL",1,"2009","12",50,45,23,66,21
"217","US-AL",2010-01-01,50,"Alabama","AL",1,"2010","01",74,44,36,73,40
"218","US-AL",2010-02-01,47,"Alabama","AL",1,"2010","02",75,63,27,61,61
"219","US-AL",2010-03-01,36,"Alabama","AL",1,"2010","03",61,44,22,67,58
"220","US-AL",2010-04-01,30,"Alabama","AL",1,"2010","04",33,36,11,55,40
"221","US-AL",2010-05-01,35,"Alabama","AL",1,"2010","05",49,37,41,56,29
"222","US-AL",2010-06-01,37,"Alabama","AL",1,"2010","06",65,30,70,49,46
"223","US-AL",2010-07-01,29,"Alabama","AL",1,"2010","07",23,41,33,73,93
"224","US-AL",2010-08-01,28,"Alabama","AL",1,"2010","08",26,59,33,63,47
"225","US-AL",2010-09-01,25,"Alabama","AL",1,"2010","09",37,39,40,54,46
"226","US-AL",2010-10-01,41,"Alabama","AL",1,"2010","10",50,33,28,54,33
"227","US-AL",2010-11-01,33,"Alabama","AL",1,"2010","11",52,46,21,54,19
"228","US-AL",2010-12-01,48,"Alabama","AL",1,"2010","12",70,54,20,72,53
"229","US-AL",2011-01-01,64,"Alabama","AL",1,"2011","01",65,44,31,67,34
"230","US-AL",2011-02-01,62,"Alabama","AL",1,"2011","02",62,61,34,60,46
"231","US-AL",2011-03-01,48,"Alabama","AL",1,"2011","03",53,43,24,48,39
"232","US-AL",2011-04-01,76,"Alabama","AL",1,"2011","04",57,42,48,59,45
"233","US-AL",2011-05-01,42,"Alabama","AL",1,"2011","05",32,41,35,60,14
"234","US-AL",2011-06-01,38,"Alabama","AL",1,"2011","06",32,41,36,64,25
"235","US-AL",2011-07-01,36,"Alabama","AL",1,"2011","07",41,38,25,63,28
"236","US-AL",2011-08-01,29,"Alabama","AL",1,"2011","08",20,35,28,59,31
"237","US-AL",2011-09-01,41,"Alabama","AL",1,"2011","09",47,43,36,68,49
"238","US-AL",2011-10-01,31,"Alabama","AL",1,"2011","10",42,55,16,57,53
"239","US-AL",2011-11-01,45,"Alabama","AL",1,"2011","11",42,49,13,66,28
"240","US-AL",2011-12-01,33,"Alabama","AL",1,"2011","12",34,43,7,73,61
"241","US-AL",2012-01-01,49,"Alabama","AL",1,"2012","01",39,49,21,56,38
"242","US-AL",2012-02-01,45,"Alabama","AL",1,"2012","02",55,52,25,59,49
"243","US-AL",2012-03-01,56,"Alabama","AL",1,"2012","03",60,51,26,62,58
"244","US-AL",2012-04-01,33,"Alabama","AL",1,"2012","04",39,35,32,58,38
"245","US-AL",2012-05-01,33,"Alabama","AL",1,"2012","05",38,45,21,59,35
"246","US-AL",2012-06-01,38,"Alabama","AL",1,"2012","06",48,37,30,84,66
"247","US-AL",2012-07-01,40,"Alabama","AL",1,"2012","07",35,39,25,58,56
"248","US-AL",2012-08-01,48,"Alabama","AL",1,"2012","08",49,34,56,79,40
"249","US-AL",2012-09-01,29,"Alabama","AL",1,"2012","09",23,39,15,60,52
"250","US-AL",2012-10-01,36,"Alabama","AL",1,"2012","10",34,45,19,59,57
"251","US-AL",2012-11-01,25,"Alabama","AL",1,"2012","11",33,54,8,59,35
"252","US-AL",2012-12-01,44,"Alabama","AL",1,"2012","12",53,52,17,61,62
"253","US-AL",2013-01-01,52,"Alabama","AL",1,"2013","01",40,59,23,70,54
"254","US-AL",2013-02-01,44,"Alabama","AL",1,"2013","02",45,48,18,66,58
"255","US-AL",2013-03-01,51,"Alabama","AL",1,"2013","03",59,54,23,59,55
"256","US-AL",2013-04-01,54,"Alabama","AL",1,"2013","04",51,61,26,69,52
"257","US-AL",2013-05-01,40,"Alabama","AL",1,"2013","05",50,50,26,59,44
"258","US-AL",2013-06-01,47,"Alabama","AL",1,"2013","06",45,50,26,74,64
"259","US-AL",2013-07-01,44,"Alabama","AL",1,"2013","07",53,39,27,81,57
"260","US-AL",2013-08-01,32,"Alabama","AL",1,"2013","08",26,41,21,68,40
"261","US-AL",2013-09-01,27,"Alabama","AL",1,"2013","09",36,54,11,65,75
"262","US-AL",2013-10-01,37,"Alabama","AL",1,"2013","10",50,53,29,67,42
"263","US-AL",2013-11-01,41,"Alabama","AL",1,"2013","11",48,68,13,68,86
"264","US-AL",2013-12-01,46,"Alabama","AL",1,"2013","12",54,54,15,64,66
"265","US-AL",2014-01-01,81,"Alabama","AL",1,"2014","01",73,100,16,69,64
"266","US-AL",2014-02-01,82,"Alabama","AL",1,"2014","02",84,67,30,72,51
"267","US-AL",2014-03-01,54,"Alabama","AL",1,"2014","03",67,73,8,73,58
"268","US-AL",2014-04-01,78,"Alabama","AL",1,"2014","04",66,59,39,69,60
"269","US-AL",2014-05-01,38,"Alabama","AL",1,"2014","05",39,53,20,90,53
"270","US-AL",2014-06-01,42,"Alabama","AL",1,"2014","06",42,39,28,95,50
"271","US-AL",2014-07-01,33,"Alabama","AL",1,"2014","07",30,49,23,81,69
"272","US-AL",2014-08-01,33,"Alabama","AL",1,"2014","08",37,45,25,71,70
"273","US-AL",2014-09-01,34,"Alabama","AL",1,"2014","09",38,58,13,68,63
"274","US-AL",2014-10-01,44,"Alabama","AL",1,"2014","10",37,63,12,75,64
"275","US-AL",2014-11-01,42,"Alabama","AL",1,"2014","11",56,85,10,69,55
"276","US-AL",2014-12-01,38,"Alabama","AL",1,"2014","12",41,67,14,76,73
"277","US-AL",2015-01-01,48,"Alabama","AL",1,"2015","01",56,96,16,69,78
"278","US-AL",2015-02-01,100,"Alabama","AL",1,"2015","02",99,91,25,73,69
"279","US-AL",2015-03-01,64,"Alabama","AL",1,"2015","03",81,74,20,67,77
"280","US-AL",2015-04-01,64,"Alabama","AL",1,"2015","04",68,60,25,78,72
"281","US-AL",2015-05-01,43,"Alabama","AL",1,"2015","05",52,52,20,73,65
"282","US-AL",2015-06-01,44,"Alabama","AL",1,"2015","06",48,69,23,86,83
"283","US-AL",2015-07-01,40,"Alabama","AL",1,"2015","07",42,63,14,86,64
"284","US-AL",2015-08-01,37,"Alabama","AL",1,"2015","08",34,51,23,77,54
"285","US-AL",2015-09-01,38,"Alabama","AL",1,"2015","09",48,71,10,76,74
"286","US-AL",2015-10-01,45,"Alabama","AL",1,"2015","10",58,67,14,77,69
"287","US-AL",2015-11-01,52,"Alabama","AL",1,"2015","11",56,88,14,77,83
"288","US-AL",2015-12-01,71,"Alabama","AL",1,"2015","12",77,84,20,79,83
"289","US-AL",2016-01-01,66,"Alabama","AL",1,"2016","01",82,82,10,84,64
"290","US-AL",2016-02-01,73,"Alabama","AL",1,"2016","02",73,85,16,68,67
"291","US-AL",2016-03-01,69,"Alabama","AL",1,"2016","03",83,59,12,76,67
"292","US-AL",2016-04-01,59,"Alabama","AL",1,"2016","04",63,63,7,71,56
"293","US-AL",2016-05-01,44,"Alabama","AL",1,"2016","05",63,63,12,79,71
"294","US-AL",2016-06-01,48,"Alabama","AL",1,"2016","06",60,54,17,83,92
"295","US-AL",2016-07-01,49,"Alabama","AL",1,"2016","07",46,71,15,79,65
"296","US-AL",2016-08-01,41,"Alabama","AL",1,"2016","08",45,58,21,85,92
"297","US-AL",2016-09-01,32,"Alabama","AL",1,"2016","09",41,64,14,79,67
"298","US-AL",2016-10-01,39,"Alabama","AL",1,"2016","10",50,67,19,85,77
"299","US-AL",2016-11-01,48,"Alabama","AL",1,"2016","11",59,81,10,83,61
"300","US-AL",2016-12-01,60,"Alabama","AL",1,"2016","12",79,86,10,85,73
"301","US-AL",2017-01-01,86,"Alabama","AL",1,"2017","01",100,85,22,97,75
"302","US-AL",2017-02-01,53,"Alabama","AL",1,"2017","02",54,75,10,85,73
"303","US-AL",2017-03-01,76,"Alabama","AL",1,"2017","03",84,74,15,86,78
"304","US-AL",2017-04-01,79,"Alabama","AL",1,"2017","04",82,70,15,82,80
"305","US-AL",2017-05-01,62,"Alabama","AL",1,"2017","05",77,64,15,80,83
"306","US-AL",2017-06-01,77,"Alabama","AL",1,"2017","06",87,54,27,96,96
"307","US-AL",2017-07-01,53,"Alabama","AL",1,"2017","07",56,58,14,100,94
"308","US-AL",2017-08-01,54,"Alabama","AL",1,"2017","08",65,46,22,88,83
"309","US-AL",2017-09-01,65,"Alabama","AL",1,"2017","09",64,59,76,75,73
"310","US-AL",2017-10-01,61,"Alabama","AL",1,"2017","10",75,77,21,78,66
"311","US-AL",2017-11-01,46,"Alabama","AL",1,"2017","11",54,76,5,84,74
"312","US-AL",2017-12-01,74,"Alabama","AL",1,"2017","12",83,93,12,95,100
"313","US-AR",2005-01-01,19,"Arkansas","AR",5,"2005","01",51,52,0,58,57
"314","US-AR",2005-02-01,8,"Arkansas","AR",5,"2005","02",27,37,0,100,0
